timestamp,source,focus,visible_hits,raw_theme_hits,raw_gkg_themes,normalized_themes,headline,url
"Apr 23, 2026, 07:15 PM UTC","iheart.com","M&A / Strategic Transactions","merger","","TAX_ETHNICITY, TAX_ETHNICITY_AMERICAN, EPU_ECONOMY_HISTORIC, WB_1921_PRIVATE_SECTOR_DEVELOPMENT, WB_406_COMPETITION_POLICY, WB_2101_ANTITRUST, EPU_CATS_REGULATION, TAX_FNCACT","LABOR_MARKET, REGULATION","Warner Bros Discovery Shareholders Approve Paramount Skydance Merger","https://943wsc.iheart.com/content/2026-04-23-warner-bros-discovery-shareholders-approve-paramount-skydance-merger/"
"Apr 23, 2026, 07:15 PM UTC","bluemountainsgazette.com.au","M&A / Strategic Transactions","merger","","EPU_CATS_REGULATION, WB_678_DIGITAL_GOVERNMENT, WB_694_BROADCAST_AND_MEDIA, WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES, EPU_ECONOMY_HISTORIC, ECON_DEBT, WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT, WB_450_DEBT","CREDIT_MARKETS, REGULATION","Warner Bros Shareholders Approve Paramount Merger","https://www.bluemountainsgazette.com.au/story/9232144/warner-bros-shareholders-approve-paramount-merger/"
"Apr 23, 2026, 07:15 PM UTC","livelaw.in","M&A / Strategic Transactions","merger","","LEGISLATION, EPU_POLICY, EPU_POLICY_LAW, USPEC_UNCERTAINTY1, UNGP_FORESTS_RIVERS_OCEANS, TAX_WORLDLANGUAGES, TAX_WORLDLANGUAGES_CHOUDHARY, WB_696_PUBLIC_SECTOR_MANAGEMENT","REGULATION","Doctrine Of Merger Explanation","https://www.livelaw.in/articles/doctrine-of-merger-order9-rule13-explanation-531493"
"Apr 23, 2026, 07:15 PM UTC","siliconvalley.com","M&A / Strategic Transactions","merger","","ARMEDCONFLICT, EPU_CATS_NATIONAL_SECURITY, ECON_STOCKMARKET, WB_1921_PRIVATE_SECTOR_DEVELOPMENT, WB_406_COMPETITION_POLICY, WB_2101_ANTITRUST, EPU_CATS_REGULATION, TAX_FNCACT","CONFLICT, REGULATION","Warner Bros Investors Approve Billion Paramount Merger","https://www.siliconvalley.com/2026/04/23/warner-bros-investors-approve-110-billion-paramount-merger/"
"Apr 23, 2026, 07:15 PM UTC","virginiabusiness.com","M&A / Strategic Transactions","merger","","TAX_FNCACT, TAX_FNCACT_EXECUTIVES, TAX_FNCACT_CEO, WB_696_PUBLIC_SECTOR_MANAGEMENT, WB_840_JUSTICE, AFFECT, EPU_CATS_NATIONAL_SECURITY, TAX_FNCACT_CHIEF","LABOR_MARKET","Warner Bros Paramount Skydance Billion Merger","http://virginiabusiness.com/warner-bros-paramount-skydance-110-billion-merger/"
"Apr 23, 2026, 04:45 PM UTC","watoday.com.au","M&A / Strategic Transactions","merger","","ARMEDCONFLICT, EPU_CATS_NATIONAL_SECURITY, ECON_STOCKMARKET, WB_1921_PRIVATE_SECTOR_DEVELOPMENT, WB_406_COMPETITION_POLICY, WB_2101_ANTITRUST, EPU_CATS_REGULATION, WB_678_DIGITAL_GOVERNMENT","REGULATION","Warner Bros Shareholders Approve Us110 Billion Paramount Mega Merger","https://www.watoday.com.au/business/companies/warner-bros-shareholders-approve-us110-billion-paramount-mega-merger-20260424-p5zqnk.html"
"Apr 23, 2026, 04:45 PM UTC","benzinga.com","Public Offerings","IPO","","WB_1331_HEALTH_TECHNOLOGIES, WB_2453_ORGANIZED_CRIME, WB_1350_PHARMACEUTICALS, WB_2433_CONFLICT_AND_VIOLENCE, WB_621_HEALTH_NUTRITION_AND_POPULATION, WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE, WB_2456_DRUGS_AND_NARCOTICS, WB_334_EQUITY_MARKETS","ENERGY, LABOR_MARKET, TRADE, REGULATION","Kailera Therapeutics Strong IPO Validates Newco Strategy","https://www.benzinga.com/Opinion/26/04/52006951/kailera-therapeutics-strong-ipo-validates-newco-strategy"
"Apr 23, 2026, 04:45 PM UTC","seekingalpha.com","Private Capital","private credit","","ECON_WORLDCURRENCIES, ECON_WORLDCURRENCIES_DOLLARS, TAX_FNCACT, TAX_FNCACT_REGULATORS, EPU_ECONOMY_HISTORIC, WB_678_DIGITAL_GOVERNMENT, WB_694_BROADCAST_AND_MEDIA, WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES","","US SEC Treasury Seek More Data On Private Credit Risks Report","https://seekingalpha.com/news/4578777-us-sec-treasury-seek-more-data-on-private-credit-risks---report"
"Apr 23, 2026, 04:45 PM UTC","upi.com","M&A / Strategic Transactions","merger","","ECON_STOCKMARKET, WB_698_TRADE, ARMEDCONFLICT, EPU_CATS_NATIONAL_SECURITY, TAX_ECON_PRICE, MEDIA_MSM, UNGP_FORESTS_RIVERS_OCEANS, ECON_DEBT","CREDIT_MARKETS, TRADE, REGULATION","Warner Bros Discovery Approve Paramount Merger","https://www.upi.com/Top_News/US/2026/04/23/warner-bros-discovery-approve-paramount-merger/9251776959584/"
"Apr 23, 2026, 03:15 PM UTC","classicalite.com","M&A / Strategic Transactions","merger","","TAX_FNCACT, TAX_FNCACT_CEO, USPEC_UNCERTAINTY1, GENERAL_HEALTH, MEDICAL, ECON_DEBT, WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT, WB_450_DEBT","CREDIT_MARKETS, REGULATION","Cinema United Chief Fights Theater Merger Demands Longer Theatrical Windows","https://www.classicalite.com/articles/1725316/20260423/cinema-united-chief-fights-theater-merger-demands-longer-theatrical-windows.htm"
"Apr 23, 2026, 03:15 PM UTC","finanznachrichten.de","Public Offerings","public offering","","MEDICAL, ECON_STOCKMARKET, WB_698_TRADE, WB_1920_FINANCIAL_SECTOR_DEVELOPMENT, WB_332_CAPITAL_MARKETS, TAX_FNCACT, TAX_FNCACT_MANAGERS, EPU_CATS_REGULATION","INFLATION, TRADE, REGULATION","National Healthcare Properties Announces Closing Of Public Offering","https://www.finanznachrichten.de/nachrichten-2026-04/68284753-national-healthcare-properties-announces-closing-of-public-offering-399.htm"
