category,kind,source,label,count_seen,last_published,days_since_published,last_stored_or_updated,days_since_stored_or_updated,schedule,latest_run_at,run_discovered,run_selected,run_saved_new,run_saved_updates,run_failed_count,run_skipped_blocked_count,latest_title,assessment
Date/metadata issue,document_source_kind,mfa_news_item,MFA,12,2025-04-17T00:00:00Z,446.0,2026-06-30T03:17:09Z,6.8,Connector Gap Ingest (6 Hour),2026-07-06T20:28:04Z,11,1,1,0,0,0,Newsroom,"Metadata/source-date issue: workflow saved 1 new and 0 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,sec_pcaob_rulemaking,SEC,4,2025-08-28T00:00:00Z,313.0,2026-06-29T03:08:33Z,7.9,Securities Market Sources Daily,2026-07-06T16:05:32Z,4,0,0,0,0,0,"34-103083 Aug. 28, 2025 Notice of Filing and Immediate Effectiveness of Proposed Rule Change Postponing the Effective Date of Amendments to Board Standards, Rules, and Forms Adopt...","Not a run failure: workflow ran and discovered 4 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Coverage/scheduling gap,document_source_kind,regulations_gov_comment,Regulations.gov,10,2025-10-22T00:00:00Z,258.0,2026-03-08T20:32:28Z,120.1,None: manual Regulations.gov scraper only,,,,,,,,"Comment submitted by Plaid, Inc",Coverage gap: this source kind is manual-only and is not in the headless connector runner or scheduled workflow matrices.
No newer eligible item / quiet source,document_source_kind,tripwire_article,Tripwire,85,2025-10-28T00:00:00Z,252.0,2026-07-04T02:47:44Z,2.9,Connector Gap Ingest (6 Hour),2026-07-06T20:18:34Z,75,0,0,0,0,0,Continuous PCI DSS Compliance with File Integrity Monitoring,"Not a run failure: workflow ran and discovered 75 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Coverage/scheduling gap,document_source_kind,uploaded,Bloomberg,3,2026-03-05T00:00:00Z,124.0,2026-04-14T23:20:45Z,83.0,None: user upload/manual import,,,,,,,,SEC Ends Case Against Crypto Billionaire Justin Sun,Manual upload/import bucket; not expected to refresh automatically.
Coverage/scheduling gap,document_source_kind,finra_comment_letter,FINRA,7,2026-03-16T00:00:00Z,113.0,2026-04-17T21:20:29Z,80.1,None: requires FINRA notice URL override,,,,,,,,Will Murphy Comment On Regulatory Notice 26-06,Coverage gap: runner supports it only when a FINRA notice/rule URL is supplied; no stable URL list/scheduled matrix exists.
Coverage/scheduling gap,document_source_kind,sec_rule_release,SEC,3,2026-03-17T00:00:00Z,112.0,2026-03-26T03:22:55Z,102.8,None: manual SEC rule comments scraper only,,,,,,,,Application of the Federal Securities Laws to Certain Types of Crypto Assets and Certain Transactions Involving Crypto Assets,Coverage gap: this source kind is manual-only and is not in the headless connector runner or scheduled workflow matrices.
Fetch/workflow failure,document_source_kind,finra_regulatory_notice,FINRA,116,2026-03-23T00:00:00Z,106.0,2026-04-17T21:16:36Z,80.1,Securities Market Sources Daily,2026-07-06T15:59:35Z,5,3,0,0,0,3,FINRA Enhances New Member Application (Form NMA),Fetch failure: latest scheduled run selected items but skipped them because FINRA blocked detail-page fetch and no existing record was available to repair..
Coverage/scheduling gap,document_source_kind,sec_rule_comment,SEC,49,2026-03-24T00:00:00Z,105.0,2026-03-26T03:18:47Z,102.8,None: manual SEC rule comments scraper only,,,,,,,,Comments of Anonymous,Coverage gap: this source kind is manual-only and is not in the headless connector runner or scheduled workflow matrices.
Coverage/scheduling gap,document_source_kind,regulations_gov_rule,Regulations.gov,2,2026-03-31T00:00:00Z,98.0,,,None: manual Regulations.gov scraper only,,,,,,,,Fiduciary Duties In Selecting Designated Investment Alternatives,Coverage gap: this source kind is manual-only and is not in the headless connector runner or scheduled workflow matrices.
No newer eligible item / quiet source,document_source_kind,sophos_security_operations_article,Sophos,15,2026-04-22T00:00:00Z,76.0,2026-07-05T18:40:05Z,1.2,Cyber Source Full Extraction (3 Hour),2026-07-06T22:38:33Z,15,0,0,0,0,0,Strengthening authentication with passkeys: A CISO playbook,"Not a run failure: workflow ran and discovered 15 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Coverage/scheduling gap,document_source_kind,wsj_rss_article,Wall Street Journal,53,2026-04-28T00:00:00Z,70.0,2026-05-11T17:44:19Z,56.2,Legacy/manual source_kind; scheduled replacement is wsj_dow_jones,,,,,,,,There’s a Revolution in Cancer. But Can Big Pharma Afford It?,"Legacy source_kind. The scheduled durable WSJ connector now uses wsj_dow_jones, so this older key will remain stale unless migrated or hidden."
No newer eligible item / quiet source,document_source_kind,sec_trading_suspension,SEC,26,2026-06-11T00:00:00Z,26.0,2026-06-29T02:50:48Z,7.9,Securities Market Sources Daily,2026-07-06T16:04:04Z,25,0,0,0,0,0,Happy City Holdings Limited,"Not a run failure: workflow ran and discovered 25 item(s), but all were already existing or outside selection; no newer eligible source item was found."
No newer eligible item / quiet source,document_source_kind,msrb_press_release,MSRB,25,2026-06-12T00:00:00Z,25.0,2026-06-29T03:13:47Z,7.8,Securities Market Sources Daily,2026-07-06T16:06:54Z,25,0,0,0,0,0,MSRB Discusses Key Initiatives During Board Video Conference,"Not a run failure: workflow ran and discovered 25 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Date/metadata issue,document_source_kind,hedge_fund_letter,Investment Masters,16,2026-06-16T00:00:00Z,21.0,2026-07-04T09:57:28Z,2.6,Connector Gap Ingest (6 Hour),2026-07-06T20:34:42Z,18,10,0,10,0,0,Home — Bridgewater Associates,"Metadata/source-date issue: workflow saved 0 new and 10 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
Date/metadata issue,document_source_kind,intel471_blog_article,Intel 471,57,2026-06-23T00:00:00Z,14.0,2026-07-05T18:08:31Z,1.2,Cyber Source Full Extraction (3 Hour),2026-07-06T22:41:48Z,560,25,0,25,0,0,"ShinyHunters’ 0-day attacks: After patching, find out if you were breached","Metadata/source-date issue: workflow saved 0 new and 25 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,sifma_news_item,SIFMA,37,2026-06-23T00:00:00Z,14.0,2026-07-04T02:31:04Z,2.9,Securities Market Sources Daily,2026-07-06T16:07:38Z,6,0,0,0,0,0,SIFMA Urges the SEC to Take Direct Control of the CAT,"Not a run failure: workflow ran and discovered 6 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Date/metadata issue,document_source_kind,treasury_featured_story,Treasury,27,2026-06-23T00:00:00Z,14.0,2026-06-29T04:11:13Z,7.8,Connector Gap Ingest (6 Hour),2026-07-06T20:00:48Z,28,25,0,25,0,0,U.S. Department of the Treasury,"Metadata/source-date issue: workflow saved 0 new and 25 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
Date/metadata issue,document_source_kind,treasury_press_release,Treasury,80,2026-06-23T00:00:00Z,14.0,2026-06-29T04:05:22Z,7.8,Connector Gap Ingest (6 Hour),2026-07-06T19:59:20Z,23,23,0,23,0,0,U.S. Department of the Treasury,"Metadata/source-date issue: workflow saved 0 new and 23 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
Date/metadata issue,document_source_kind,treasury_statement_remark,Treasury,123,2026-06-23T00:00:00Z,14.0,2026-06-29T10:13:13Z,7.6,Connector Gap Ingest (6 Hour),2026-07-06T19:57:53Z,90,25,0,25,0,0,U.S. Department of the Treasury,"Metadata/source-date issue: workflow saved 0 new and 25 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
Date/metadata issue,document_source_kind,akamai_blog_article,Akamai,158,2026-06-25T00:00:00Z,12.0,2026-07-04T20:19:06Z,2.1,Connector Gap Ingest (6 Hour),2026-07-06T20:20:53Z,75,25,25,0,0,0,The New MCP Specification: What Security Teams Must Prepare For - Akamai,"Metadata/source-date issue: workflow saved 25 new and 0 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,investmentnews_article,InvestmentNews,3,2026-06-25T00:00:00Z,12.0,2026-06-29T04:36:37Z,7.8,Connector Gap Ingest (6 Hour),2026-07-06T20:04:47Z,1,0,0,0,0,0,InvestmentNews Awards celebrate top advisors and firms at glitzy New York event,"Not a run failure: workflow ran and discovered 1 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Fetch/workflow failure,document_source_kind,sec_administrative_proceeding,SEC,25,2026-06-26T00:00:00Z,11.0,2026-06-29T02:42:11Z,7.9,Securities Market Sources Daily,2026-07-06T16:03:21Z,0,0,0,0,0,0,"Northeast Financial Group, Inc.","Discovery issue: workflow ran but discovered 0 items; debug error: not well-formed (invalid token): line 82, column 25"
Date/metadata issue,document_source_kind,sec_tm_faq,SEC,51,2026-06-26T00:00:00Z,11.0,2026-06-26T00:00:00Z,11.0,Connector Gap Ingest (6 Hour),2026-07-06T20:01:49Z,7,1,0,1,0,0,Division of Trading and Markets: Responses to Frequently Asked Questions Concerning Rule 201 of Regulation SHO,"Metadata/source-date issue: workflow saved 0 new and 1 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,senate_committee_site,"Senate Committee on Agriculture, Nutrition, and Forestry",170,2026-06-26T00:00:00Z,11.0,2026-07-05T09:26:44Z,1.6,Senate Committee Site Extraction (3 Hour),2026-07-06T22:41:20Z,192,0,0,0,0,0,"What They Are Saying: Support Grows for Chairman Boozman’s Farm Bill 2.0 Discussion Draft | The United States Senate Committee On Agriculture, Nutrition & Forestry","Not a run failure: workflow ran and discovered 192 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Date/metadata issue,document_source_kind,cftc_press_release,CFTC,109,2026-06-29T00:00:00Z,8.0,2026-06-30T14:02:30Z,6.4,Securities Market Sources Daily,2026-07-06T16:00:53Z,37,25,0,25,0,0,Release Number 9263-26,"Metadata/source-date issue: workflow saved 0 new and 25 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,sec_speech,SEC,3072,2026-06-30T00:00:00Z,7.0,2026-07-04T02:14:18Z,2.9,Policy Extraction (Scheduled),2026-07-06T23:16:49Z,125,0,0,0,0,0,Remarks at the Economic Club of New York,"Not a run failure: workflow ran and discovered 125 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Date/metadata issue,document_source_kind,cftc_public_statement_remark,CFTC,17,2026-07-01T00:00:00Z,6.0,2026-07-04T02:23:03Z,2.9,Securities Market Sources Daily,2026-07-06T16:01:55Z,5,5,0,5,0,0,Washington Times Op-Ed | Chicago’s Last Trade,"Metadata/source-date issue: workflow saved 0 new and 5 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
Date/metadata issue,document_source_kind,liberty_street_economics_article,Federal Reserve Bank of New York,105,2026-07-01T00:00:00Z,6.0,2026-07-04T02:56:38Z,2.9,Connector Gap Ingest (6 Hour),2026-07-06T20:23:40Z,118,25,0,25,0,0,The Disappearing Overnight Drift - Liberty Street Economics,"Metadata/source-date issue: workflow saved 0 new and 25 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
